Unique_Word,Count
candidate ranking,4
lexical encoding,4
two-phase approach,4
content features,4
answer reranking,4
minimally supervised learning,4
adversarial autoencoder,4
ordered neurons,4
sentiment polarity detection,4
distributional measures,4
terminological structure,4
subevents,4
dependency tree kernels,4
phrasal semantics,4
ambiguous keyboard,4
crf autoencoders,4
mt approaches,4
human revision,4
label dependence,4
unstructured web,4
jaist,4
global optimization,4
adaptive convolution,4
kantoo machine,4
corpus similarity,4
bilingual grammar induction,4
name list,4
english books,4
feature discovery,4
recurrent neural language models,4
utterance level,4
continuous speech corpus,4
second language texts,4
phrase table,4
content synchronization,4
diverse opinions,4
text-to-speech synthesis system,4
declarative programs,4
orthographic similarity,4
chinese word embedding,4
graph-based neural dependency parser,4
document corpora,4
resource-rich language,4
text semantic matching,4
structured neural nlp,4
oral corpus,4
softcardinality,4
n-gram embedding,4
grapheme-to-phoneme system,4
person name,4
dementia type,4
out-of-domain corpus,4
vectors weighting,4
fine-grained relations,4
saliency,4
lightweight model,4
truly low-resource languages,4
indian twitter,4
(semi-)automatic,4
supervised bilingual lexicon,4
textual definitions,4
task-oriented spoken dialog systems,4
student course feedback,4
sarcasm target detection,4
syntagmatic kernels,4
advice,4
automatic features,4
l2 acquisition,4
unified account,4
topic space,4
empathetic chatbots,4
russian corpus,4
8th recognizing textual entailment challenge,4
non-native texts,4
natural images,4
unsupervised multilingual embeddings,4
feature norms,4
local features,4
text preprocessing,4
scalable approach,4
srst'19,4
microblog categorization,4
temporally annotated corpora,4
mass digitised texts,4
verbal semantic resource,4
holistic sentence embeddings,4
multi-party chatbots,4
conversational bots,4
unsupervised bilingual pos tagging,4
synthetic voice,4
automated knowledge base construction,4
discreteness,4
syntactic distances,4
arab names,4
feature,4
graphes,4
informal,4
intra-word code-switching,4
polish speech database,4
post-edited corpus,4
filled pauses,4
social robot,4
medical language models,4
web forums,4
data integration,4
lexical specialization,4
verbal,4
story telling,4
sparse parallel corpora,4
state-of-the-art tagger,4
optimizer instability,4
audio database,4
pln cmm,4
event factuality,4
part-of-speech tagset,4
turn-taking methods,4
lookahead,4
semeval-2013 task 13,4
analysis of errors,4
english speech,4
item representation,4
clause annotation,4
gene-drug interaction extraction,4
error repair,4
syntactic theory,4
linguistic treebanks,4
anaphoric reference,4
brazilian portuguese speech,4
multilingual collection,4
hierarchical annotation,4
dalgtm,4
global entity linking,4
sentence dependency tagging,4
sense annotated corpus,4
literal use,4
conversational contexts,4
subsequent reference,4
attentive recurrent neural networks,4
event-based,4
dnn,4
moral foundations,4
radio news,4
synthetic treebank,4
computer science papers,4
french framenet,4
working solution,4
semantic-specific model,4
dependency forest,4
triplet attention,4
spatial video grounding,4
gold-standard corpora,4
dialog policy,4
specialized documents,4
japanese corpus,4
f-measure,4
discriminating similar languages,4
multilingual media monitoring,4
dependency-parsed text,4
coherent citation,4
metrics for machine translation,4
tree mining,4
conclusions,4
social scientific papers,4
orthographic variants,4
active learn,4
nonterminals,4
translation projects,4
bag-of-concepts model,4
theoretical linguistics,4
narrow domain,4
unit graphs,4
simple clause,4
skip-thought vectors,4
readability levels,4
bert's multilinguality,4
arabic speech understanding,4
acceptability judgments,4
joint framework,4
werewolf,4
learning ensembles,4
topic information,4
data generator,4
zen,4
corpus-based co-occurrences,4
inflection tables,4
march 1993,4
celi,4
manual effort,4
qt21,4
children's writing,4
morphology generalization,4
private access,4
multi-task benchmark,4
verb-verb associations,4
rephrasing,4
translationese indicators,4
cngl,4
trainable sentence planner,4
cross-view training,4
search system,4
n-best rescoring,4
kernel-based learning,4
polyphony,4
spelling error patterns,4
lexical concept acquisition,4
dysarthrie,4
two-level description,4
qud-based analysis,4
probabilistic rules,4
simple and robust methods,4
wmt 2009 shared task,4
learner levels,4
cat environment,4
pre-empting,4
semantic frame labeling,4
dictation systems,4
bag,4
english-german system,4
dialog topic tracking,4
two-stage svm,4
emotion-aware,4
turku,4
adverbial phrases,4
591 languages,4
cohesion-based approach,4
analytical methods,4
sparse regularization,4
lstm gating mechanism,4
verbnet roles,4
recurrence,4
contemporary romanian language,4
grounded text generation,4
bursty events,4
crowd-sourced dataset,4
extractive chat summarization,4
look-up,4
bilingual word representations,4
corpus pattern analysis,4
cu,4
banque d'arbres,4
arrau,4
translation spotting,4
sofc-exp corpus,4
morpheme level,4
unknown terms,4
interviews,4
connective lexicon,4
potts,4
opposition,4
copy-augmented,4
first story detection,4
iwslt 2016 evaluation campaign,4
funny headlines,4
peking,4
wh-phrases,4
constraint-based lexicon,4
parsing model,4
gender labels,4
language service infrastructure,4
noun-phrase chunking,4
affective norms,4
tajik,4
automated classification,4
modularized nlp system,4
computationally feasible,4
structured cache models,4
q&a site,4
sentiment-based methods,4
language processing toolkit,4
bilingual datasets,4
discourse elements,4
automatic tuning,4
relation extraction patterns,4
partial utterances,4
deep inside-outside recursive autoencoder,4
semantic segmentation,4
end-user development,4
graph-based model,4
crosslingual resources,4
morphological database,4
lexical approach,4
latvian corpus,4
multiple representations,4
interaction quality estimation,4
cybersecurity events,4
research areas,4
online training,4
nrc-cnrc machine translation systems,4
lower bounds,4
semantic script modeling,4
aida,4
memory-based word sense disambiguation,4
speech recorded,4
corpus expansion,4
multi-agent learning,4
lexical smoothing,4
multi-way,4
slovene acquis corpus,4
tempeval-3 task,4
sentiue,4
linguist's assistant,4
formality,4
one sentence,4
croatian national corpus,4
woz,4
gpu,4
associative model,4
non-concrete concepts,4
deep questions,4
entailment study,4
n-best hypotheses,4
speculation detection,4
dog,4
wordnet hierarchy,4
visual analysis,4
object-oriented model,4
universal conceptual cognitive annotation,4
automatic predicate recognition,4
segmentation corpus,4
topical keyphrase,4
string-to-tree,4
indexicals,4
scoping,4
deep models,4
12th international conference on computational semantics,4
communities,4
modern nlp,4
vague words,4
lexical subspaces,4
comparable multimodal corpora,4
define terms,4
fine-grained hate speech detection,4
web question-answering,4
optimized features,4
tree kernel approach,4
romanian wordnet,4
reading comprehension system,4
balkans,4
universal-dependency treebank,4
categorisation,4
3d scene generation,4
thai national corpus,4
levels of granularity,4
typologies,4
wordnet mappings,4
skill statements,4
(m)bert,4
valency frames,4
perceive,4
stop,4
efficient machine translation,4
non-native accent,4
all-word prediction,4
output embedding,4
situation entity types,4
linguistic quality,4
medical guidelines,4
soft clustering,4
count-mass distinction,4
generalizing contexts,4
visual user interface,4
multimodal linguistic annotated data,4
user documentation,4
wordnet embeddings,4
hanspeller++,4
5th workshop on asian translation,4
computational structure,4
reranking method,4
sense glosses,4
teaching reading,4
severity,4
hybrid generative approach,4
few-shot scene,4
hierarchical text segmentation,4
stanford typed dependencies,4
srcb,4
cooking videos,4
interactive alignment,4
leverage,4
geotemporal analysis,4
simple wikipedia,4
semi-markov,4
empty category detection,4
vietnamese noun compounds,4
user trust,4
headmovements,4
corpus of portuguese,4
adversarial data augmentation,4
event-level sentiment detection,4
spoken summaries,4
gum-space,4
harmonisation,4
community social media,4
aspect-of relations,4
non-article texts,4
longest common subsequence,4
thresholding,4
deceptive opinions,4
latent-variable pcfgs,4
invariant mappings,4
dialogue manager,4
modulation spectrum factorization,4
multi-prototype,4
benchmark corpus,4
labeled documents,4
pitch contour generation,4
arousal,4
sense inventory,4
newsreader,4
multilingual dictionaries,4
hierarchically-attentive rnn,4
generation-distillation,4
native data,4
hierarchical relation structure,4
paraphrase rules,4
neural transduction grammar induction,4
german preposition,4
training task,4
social media platform,4
tasks 2 and 3,4
chinese text summarizer,4
document understanding,4
syntactic behavior,4
semi-supervised cleansing,4
finite-state framework,4
osu,4
feature-rich tagging,4
computer aided writing,4
slovene dependency treebank,4
