Unique_Word,Count
panacea,6
unwritten,6
word sense annotation,6
wording,6
the model,6
syntactic productivity,6
bandit feedback,6
swedish sign language,6
short answers,6
japanese word segmentation,6
argumentation quality,6
shallow processing,6
buddhist scriptures,6
semi-supervised relation extraction,6
lol,6
unstructured data,6
compound paraphrasing,6
query tool,6
hybrid segmentation,6
giza++,6
pit corpus,6
tag embeddings,6
phonemes,6
question-answer pair generation,6
russian national corpus,6
statistical translation model,6
biomedical named-entity,6
span representation,6
social tags,6
long sentences,6
unsupervised morphology,6
support vector learning,6
classifier ensembles,6
iit (bhu),6
compositional distributional models,6
glove,6
chinesebert,6
bionlp-st 2016,6
large margin,6
cross language faq retrieval,6
joint parsing,6
communicative functions,6
optical character recognition,6
knowledge base index,6
semantic taxonomy,6
soft syntactic rules,6
chiasmus,6
cloze reading comprehension,6
direct position interactions,6
robust question answering,6
long dependencies,6
wmt14,6
broad-coverage ccg,6
wmt2018 shared task,6
eu-bridge,6
phoneme modeling,6
discourse plans,6
point,6
video reviews,6
multi-document summarisation,6
wordnet glosses,6
neural sequence labeling,6
reversibility,6
domain resources,6
unsolved problem,6
substitution grammars,6
syntax-directed tree,6
ftag,6
spanish-chinese parallel corpus,6
word level,6
several dimensions,6
phylogenetic inference,6
efficient solving,6
ancient text,6
specialized models,6
part-of-speech corpus,6
english words,6
parsing representation,6
document-aligned,6
text-to-sql model,6
genia corpus,6
morphosyntactic features,6
polarity lexicons,6
tree substitution grammar,6
predominant sense,6
adaptive help,6
answer-guided,6
attention-based neural network,6
lexical level,6
metric learning,6
argument-predicate relations,6
large scale acquisition,6
new questions,6
co-attention networks,6
phonological processor,6
unknown intent,6
catastrophic forgetting,6
understanding speech system,6
multi-view learning,6
norwegian language,6
code-switched nlp,6
cross-caption coreference resolution,6
text summarization task,6
stochastic frames,6
out of vocabulary words,6
cognats,6
online behavior,6
extractive summarization system,6
single annotation,6
author verification,6
prosodic form,6
hybrid word-character models,6
schemes,6
context-sensitive autoencoders,6
academic prose,6
pos-taggers,6
experts model,6
markov models,6
linguistic terms,6
luxembourgish,6
multi-adversarial learning,6
clir,6
post-editing process,6
rule based mt system,6
reading comprehension tests,6
online platform,6
conceptual metaphor,6
novel framework,6
facebook posts,6
speculative words,6
classification model,6
arabic community,6
chinese review,6
ressources,6
shallow features,6
multi-party meetings,6
lexicon module,6
lexical ability,6
crosslingual annotation,6
topicality,6
topic tracking,6
interactivity,6
xmg,6
