Unique_Word,Count
wissensbasis,1
optimal subword sizes,1
axiomatik,1
urdu propbanking,1
panel on international cooperation,1
precise lexicon integration,1
first class citizens,1
research guide,1
humanities computing yearbook 1989-90,1
sextant,1
set of stimulus words,1
dictionary interfaces,1
specific class of metaphors,1
ets lexical associations system,1
nanodevice development,1
nadir,1
naive distributional response generation,1
simple neighborhood algorithm,1
graph-based resource,1
german ``third construction'',1
"""wordfinder""",1
theory of computer semiotics,1
field of neurosciences,1
romantic orientalist poetry,1
training statistical models,1
ssf,1
common representation scheme,1
light-weight ontologies,1
web service grids,1
eumssi,1
pos error detection,1
web-based geo-resolution,1
benchmarking terminology extraction,1
descriptively incomplete language phenomena,1
human computational effort,1
message reply formatting,1
discursive email segmenters,1
clinical decision-making style,1
npmi,1
erc wishing well,1
software test conditions,1
wikipedia bitaxonomy,1
folkloristics,1
modelling misrepresentation,1
deterministic tree-walking transducers,1
irish national morphology database,1
gdbank,1
conjunct identification,1
onomastics (toponymy),1
modern web technologies,1
word pair matrices,1
deche,1
welsh national corpus portal,1
subsegmental language detection,1
harmonized annotations,1
un-lp algorithm,1
conversion aided methods,1
lattice-based word identification,1
clare,1
wordlink,1
gpsm (generalized probabilistic semantic model),1
relative pronoun disambiguation heuristics,1
multidict,1
tense trees,1
irish nlp resources,1
illegal np omissions,1
extent,1
conversational games,1
constraint strategies,1
right association,1
lr category-neutral parser,1
swedish discharge summaries,1
modelling lexical resources,1
left corner prediction,1
enjeux actuels de la s'emantique distributionnelle,1
czech bert-like model,1
word storage,1
orthographic edit distance,1
noun only approach,1
word relationship modeling,1
ontologie du temps,1
insurgents,1
retweet rhetoric,1
subordination,1
twitter (pit),1
credit risk assessment,1
aspect-switching,1
hltc-hkust,1
amrita_cen@semeval-2015,1
ebiquity,1
action relations,1
tobacco products' usage,1
versioned sentences,1
incoherent stream,1
nominally premodified noun phrases,1
tesseract ocr language data,1
automatic expertise-based annotator assignment,1
instrument,1
ensemble noisy auto-encoder,1
visual character segmentation,1
logical character segmentation,1
generalized discrimination networks,1
indic writing scripts,1
robustness oriented adaptive learning algorithm,1
hong kong native male production,1
primordial soup algorithm,1
trove,1
generalized greibach normal form,1
australian historical newspapers,1
lsa dimensions,1
simple overlap features,1
tklbliir,1
supervised propagandist message detection,1
shiraz,1
azmat,1
nerosim,1
cubes,1
tato,1
multiple strategies,1
comment sequence labeling system,1
hopfield models,1
rule granularity,1
satisfiability,1
yes/no response inference,1
voltron,1
pilot on interpretability,1
exb themis,1
vectorslu,1
modal extensions,1
sense-based kernel,1
tweetingjay,1
miniexperts,1
habitual vps,1
cdtds,1
yigou,1
usaar-sheffield,1
genetic nps,1
trwp,1
umduluth-blueteam,1
sopa,1
svcsts,1
chunk level semantic similarity system,1
\textitdake (\textitonly),1
traditional similarity measurements,1
uqeresearch,1
ttp,1
bs5750,1
generic mechanism,1
integrated document production process,1
burrows's delta,1
project gutenberg corpus,1
"kafka's ""verwandlung""",1
predictable meaning shift,1
visualizing poetry,1
visual maps,1
term subsumption languages,1
terminology-intensive applications,1
literary theories,1
gender-based vocation identification,1
electronic form,1
metrical aspects,1
candidate evaluation strategies,1
interchange of documents,1
transmanche trains,1
gutentag,1
sonic devices,1
national qualifications,1
game-changing event definition,1
multiword expression waters,1
event slots,1
propstore,1
similarity thresholds,1
causally embedded structures,1
"""level""",1
esports corpus,1
rhymedesign,1
lexical operations,1
k-parser output,1
rich ere,1
contradictory event pairs,1
gamma distribution,1
old occitan romance of flamenca,1
improved difficulty prediction,1
organization of writing,1
learner hungarian,1
detecting counter-considerations,1
quasi-experimental study,1
printed directories,1
freshman writing,1
thoughts,1
support for propositions,1
toulmin model argumentation,1
online members database,1
feature diversity,1
prominent arguments,1
cartesian types,1
professional bulletin board,1
r&d environment,1
owl knowledge base,1
hedging annotation scheme,1
industrial texts,1
writing quality,1
writing motivation,1
eastern family,1
pegwriting®,1
human baselines,1
korean dtp system,1
feedback granularity,1
wheel,1
cab computer-speak language,1
revup,1
appropriate wording,1
jinan,1
multilingual audio and visual communications systems,1
lark trills,1
graph-based lexico-semantic text matching,1
knowledge components,1
comboner,1
word identification,1
asymmetrically distributed reputation,1
sprl-cww,1
ufprsheffield,1
shalt2,1
usaar-chronos,1
ambra,1
x-space,1
spaceeval,1
tr-seq,1
heideltoul,1
inriasac,1
usaar-wlv,1
crf-based hypernym extraction,1
tanka,1
lisbon,1
machines sun,1
sl-trans2,1
2015 clinical tempeval challenge,1
aspect identification,1
absa platform,1
figurative tweets,1
piece of cake,1
\#notreally,1
systeme inferentiel oriente objet,1
dsunipi,1
linear least squares fit mapping method,1
tjudem,1
experiences d'indexation,1
spinoza_vu,1
practical domains,1
cross document timelines,1
l'inist,1
turkish search engine queries,1
blulab,1
projet,1
morpheme induction algorithm,1
cpa dictionary-entry-building task,1
mllp,1
attitude emergence,1
planning alternatives,1
risk-aware distribution,1
anonymous readers,1
small quantities,1
risk-taking,1
lium asr,1
pause prediction,1
naist (nara institute of science and technology),1
wat 2014 (workshop on asian translation),1
japanese-chinese machine translation,1
reliable labels,1
gold labels,1
