Unique_Word,Count
homophones,1
novel word segmentation approach,1
statistical confidence,1
near-misses,1
swedish word clustering,1
word sense disambiguation approach,1
ascent,1
prototype-based active learning,1
intellicat,1
edlin,1
robust compositional polarity classification,1
treelex,1
adjectival tables,1
texsmart,1
sentiment scoring,1
the leffe,1
the victoria project,1
intrinsic dimensionality,1
bag of languages,1
family trees,1
scientific credibility,1
anti-experts,1
concept-attribute attachment,1
aspect selection functions,1
incremental systems,1
wishes,1
entity set refinement,1
minimal-length linearizations,1
bounded stack,1
model-based right-corner transform,1
multi-scale lexical cohesion,1
latent permutations,1
geo-centric language models,1
relations between scientific papers,1
local business voice search,1
segmentation lattices,1
xmoco,1
construct-driven assessment,1
pseudo-evidentiality training,1
query-free resources,1
query focused summaries,1
subject-object-verb languages,1
photo sharing behavior,1
alteration,1
empirical revisiting,1
quadratic features,1
active zipfian sampling,1
reverse revision,1
linear tree combination,1
anchored speech recognition,1
bertifying,1
subjectivity sense labeling,1
motion-appearance synergistic networks,1
protolanguage word forms,1
logistic normal distributions,1
soft parameter tying,1
parsable extensions,1
tree-local multicomponent tag,1
richer contexts,1
context-dependent alignment models,1
review pages,1
syntactic packaging,1
cil,1
"""dialogue""",1
extension of concepts,1
shallow aggressive decoding,1
false start errors,1
tbl (transformation-based learning),1
"""linguistic features""",1
"""gaze features""",1
"""second-person references""",1
rich bitext projection,1
bass,1
cube summing,1
fuzzy tag-set mapping,1
em-hmm-based lexical probabilities,1
speech genre samples,1
mid-range re-ordering,1
templates of factors,1
fine-grained provenance,1
phmospell,1
step-by-step rewriting,1
pos-constrained parallel decoding,1
dialog task structure,1
semantic-based estimation,1
optimal reduction,1
rule length,1
graph-cut-based anaphoricity determination,1
replacement strategy,1
linear complexity,1
chart constraints,1
benchmark tasks,1
updates,1
slacker semantics,1
superficiality,1
avoidance of commitment,1
tgea,1
lexical affect scoring,1
subword gaps,1
wordnet kernels,1
independence of dimensions,1
decoding-time controlled text generation,1
length drop,1
external collections,1
cheap operations,1
noisy word boundary detection,1
ghostbert,1
cepstral time coefficients,1
sub-band modulation spectrum compensation,1
good terms,1
length-adaptive transformer,1
90% solution,1
latent prosody model,1
mandarin accent identification,1
高解析度 (high resolution),1
resource-constrained platforms,1
ccmatrix,1
wordnet::senserelate::allwords,1
